org_id,canonical_name,raw_name,normalized_name,clean_name,frequency,source_count,sources,type_info,sector_info,known_group_info,org_signal,all_raw_names,old_org_id,sample_aliases,manual_is_correct_alignment,manual_note
ORG_004031,WESTERN CAPE HIGH COURT,Western Cape High Court,WESTERN CAPE HIGH COURT,WESTERN CAPE HIGH COURT,21,1,ICEWS,,GOVERNMENT;JUDICIAL;PROVINCIAL COURT,,21,,ORG_005412,WESTERN CAPE HIGH COURT; Western Cape High Court,,
ORG_001898,CHADIAN,CHADIAN,CHADIAN,CHADIAN,140,1,GDELT,COP NAN NAN NAN;EDU NAN NAN NAN;GOV NAN NAN NAN;MIL NAN NAN NAN;OPP NAN NAN NAN;REB NAN NAN NAN;SEP NAN NAN NAN;SPY NAN NAN NAN,,,140,,ORG_002141,CHADIAN,,
ORG_002550,KISUMU,KISUMU,KISUMU,KISUMU,70,1,GDELT,COP NAN NAN NAN;EDU NAN NAN NAN;GOV NAN NAN NAN;LEG NAN NAN NAN;OPP NAN NAN NAN,,,70,,ORG_003023,KISUMU,,
ORG_003027,TYRE,TYRE,TYRE,TYRE,44,1,GDELT,BUS NAN NAN NAN;COP NAN NAN NAN;CRM NAN NAN NAN;GOV NAN NAN NAN,,,44,,ORG_003786,TYRE,,
ORG_006644,IVAN SAFRONOV,Ivan Safronov,IVAN SAFRONOV,IVAN SAFRONOV,4,1,ICEWS,,MEDIA;NEWS;PRINT NEWS;SOCIAL,,4,,ORG_010770,IVAN SAFRONOV; Ivan Safronov,,
ORG_006341,HUTCHISON WHAMPOA,HUTCHISON WHAMPOA,HUTCHISON WHAMPOA,HUTCHISON WHAMPOA,6,1,GDELT,MNC NAN NAN NAN,,,6,,ORG_009958,HUTCHISON WHAMPOA,,
ORG_004681,JOHN BANDE,JOHN BANDE,JOHN BANDE,JOHN BANDE,14,1,GDELT,GOV DEV NAN NAN,,,14,,ORG_006612,JOHN BANDE,,
ORG_000713,YEMEN,Yemen,YEMEN,YEMEN,911,2,GDELT;ICEWS,COP NAN NAN NAN;CRM NAN NAN NAN;EDU NAN NAN NAN;ELI NAN NAN NAN;GOV BUS NAN NAN;GOV DEV NAN NAN;GOV HLH NAN NAN;GOV MED NAN NAN;GOV MIL NAN NAN;GOV NAN NAN NAN;JUD NAN NAN NAN;LEG NAN NAN NAN;MED NAN NAN NAN;MIL NAN NAN NAN;OPP NAN NAN NAN;REB NAN NAN NAN;SEP NAN NAN NAN;SPY NAN NAN NAN,,,911,,ORG_000745,YEMEN; Yemen,,
ORG_004563,ARGENTINE FEDERAL POLICE,Argentine Federal Police,ARGENTINE FEDERAL POLICE,ARGENTINE FEDERAL POLICE,15,1,ICEWS,,GOVERNMENT;NATIONAL / BORDER DIVISIONS;POLICE,,15,,ORG_006325,Argentine Federal Police; ARGENTINE FEDERAL POLICE,,
ORG_005577,DONG THAP,DONG THAP,DONG THAP,DONG THAP,8,1,GDELT,COP NAN NAN NAN;GOV NAN NAN NAN,,,8,,ORG_008469,DONG THAP,,
ORG_005900,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,Civil Aviation Authority of the Philippines,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,6,1,ICEWS,,EXECUTIVE;GOVERNMENT;TRANSPORTATION MINISTRY,,6,,ORG_008854,Civil Aviation Authority of the Philippines; CIVIL AVIATION AUTHORITY OF THE PHILIPPINES,,
ORG_000240,GOVERNANCE,GOVERNANCE,GOVERNANCE,GOVERNANCE,3646,1,GDELT,GOV CVL NAN NAN;GOV EDU NAN NAN;GOV GOV NAN NAN;GOV JUD NAN NAN;GOV MED NAN NAN;GOV NAN NAN NAN;GOV OPP NAN NAN,,,3646,,ORG_000246,GOVERNANCE,,
ORG_000319,BRAZILIAN,BRAZILIAN,BRAZILIAN,BRAZILIAN,2458,1,GDELT,BUS NAN NAN NAN;COP NAN NAN NAN;CRM NAN NAN NAN;EDU NAN NAN NAN;ELI NAN NAN NAN;GOV AGR NAN NAN;GOV BUS NAN NAN;GOV EDU NAN NAN;GOV ENV NAN NAN;GOV HLH NAN NAN;GOV JUD NAN NAN;GOV MIL NAN NAN;GOV NAN NAN NAN;JUD NAN NAN NAN;LEG NAN NAN NAN;MED NAN NAN NAN;MIL COP NAN NAN;MIL NAN NAN NAN;OPP NAN NAN NAN;REB NAN NAN NAN;SPY NAN NAN NAN,,,2458,,ORG_000329,BRAZILIAN,,
ORG_003613,MOLINA HEALTHCARE,MOLINA HEALTHCARE,MOLINA HEALTHCARE,MOLINA HEALTHCARE,28,1,GDELT,MNC HLH NAN NAN,,,28,,ORG_004735,MOLINA HEALTHCARE,,
ORG_004052,KEN CALVERT,Ken Calvert,KEN CALVERT,KEN CALVERT,21,1,ICEWS,,(NATIONAL) MAJOR PARTY;CENTER RIGHT;GOVERNMENT;IDEOLOGICAL;LEGISLATIVE / PARLIAMENTARY;LOWER HOUSE;PARTIES,,21,,ORG_005443,Ken Calvert; KEN CALVERT,,
ORG_000734,INTELLIGENCE SERVICE,INTELLIGENCE SERVICE,INTELLIGENCE SERVICE,INTELLIGENCE SERVICE,866,1,GDELT,SPY ELI NAN NAN;SPY GOV NAN NAN;SPY LAB NAN NAN;SPY NAN NAN NAN,,,866,,ORG_000770,INTELLIGENCE SERVICE,,
ORG_003775,REPUBLICAN GUARD,Republican Guard,REPUBLICAN GUARD,REPUBLICAN GUARD,24,1,ICEWS,,ARMY;ARMY SPECIAL FORCES;GOVERNMENT;MILITARY,,24,,ORG_004992,Republican Guard; REPUBLICAN GUARD,,
ORG_007958,FREUNDEL STUART,FREUNDEL STUART,FREUNDEL STUART,FREUNDEL STUART,2,1,GDELT,GOV ELI NAN NAN,,,2,,ORG_013943,FREUNDEL STUART,,
ORG_006138,ENERGY TRANSFER PARTNERS,ENERGY TRANSFER PARTNERS,ENERGY TRANSFER PARTNERS,ENERGY TRANSFER PARTNERS,6,1,GDELT,MNC NAN NAN NAN,,,6,,ORG_009755,ENERGY TRANSFER PARTNERS,,
ORG_003919,VLADIMIR VLADIMIROVICH PUTIN,VLADIMIR VLADIMIROVICH PUTIN,VLADIMIR VLADIMIROVICH PUTIN,VLADIMIR VLADIMIROVICH PUTIN,24,1,GDELT,GOV NAN NAN NAN,,,24,,ORG_005205,VLADIMIR VLADIMIROVICH PUTIN,,
ORG_004815,CHRISTIAN ASSOCIATION OF NIGERIA,Christian Association of Nigeria,CHRISTIAN ASSOCIATION OF NIGERIA,CHRISTIAN ASSOCIATION OF NIGERIA,12,1,ICEWS,,CHRISTIAN;INTERNATIONAL RELIGIOUS;NATIONAL RELIGIOUS;SOCIAL,,12,,ORG_006855,Christian Association of Nigeria; CHRISTIAN ASSOCIATION OF NIGERIA,,
ORG_007805,LUBECK,LUBECK,LUBECK,LUBECK,2,1,GDELT,MIL NAN NAN NAN,,,2,,ORG_013789,LUBECK,,
ORG_000222,FIGHTER JET,FIGHTER JET,FIGHTER JET,FIGHTER JET,3882,1,GDELT,MIL MIL NAN NAN;MIL NAN NAN NAN,,,3882,,ORG_000228,FIGHTER JET; JET FIGHTER,,
