People Associated with the Opposition (Argentina)	CAMEO_04	Alberto Fernández	20230103	20230103
Defense / Security Ministry (Russia)	CAMEO_01	Ukraine	20230103	20230103
Ukraine	CAMEO_19	Russia	20230103	20230103
Argentina	CAMEO_17	Men (Argentina)	20230103	20230103
Lawyer/Attorney (Argentina)	CAMEO_09	Citizen (Argentina)	20230103	20230103
Border Patrol (United States)	CAMEO_01	Immigrants (Haiti)	20230103	20230103
Mauro Vieira	CAMEO_04	Tony Blinken	20230103	20230103
Tony Blinken	CAMEO_04	Mauro Vieira	20230103	20230103
Head of Government (South Africa)	CAMEO_01	South Africa	20230103	20230103
Protester (Bolivia)	CAMEO_14	Unspecified Actor	20230103	20230103
Gauteng High Court	CAMEO_10	Nkosazana Dlamini Zuma	20230103	20230103
South Africa	CAMEO_10	Nkosazana Dlamini Zuma	20230103	20230103
Activist (South Africa)	CAMEO_01	Citizen (South Africa)	20230103	20230103
Immigrants (Haiti)	CAMEO_04	United States	20230103	20230103
United States	CAMEO_04	Immigrants (Haiti)	20230103	20230103
Recep Tayyip Erdoğan	CAMEO_03	Citizen (Ukraine)	20230103	20230103
Recep Tayyip Erdoğan	CAMEO_03	Vladimir Putin	20230103	20230103
Government (Russia)	CAMEO_02	Xi Jinping	20230103	20230103
Government (Russia)	CAMEO_03	Xi Jinping	20230103	20230103
United States	CAMEO_03	Ukraine	20230103	20230103
Defense / Security Ministry (Ukraine)	CAMEO_05	Poland	20230103	20230103
Mateusz Morawiecki	CAMEO_01	Poland	20230103	20230103
Joseph Robinette Biden	CAMEO_04	Fumio Kishida	20230103	20230103
Fumio Kishida	CAMEO_04	Joseph Robinette Biden	20230103	20230103
Police (India)	CAMEO_07	Citizen (India)	20230103	20230103
Police (Yemen)	CAMEO_01	Honda	20230103	20230103
Police (Czech Republic)	CAMEO_11	Member of Parliament (Czech Republic)	20230103	20230103
Police (Peru)	CAMEO_17	Women (Peru)	20230103	20230103
Police (Peru)	CAMEO_17	Citizen (Peru)	20230103	20230103
Criminal (Germany)	CAMEO_04	Ecuador	20230103	20230103
Ecuador	CAMEO_04	Criminal (Germany)	20230103	20230103
Citizen (Thailand)	CAMEO_02	Health Ministry (Thailand)	20230103	20230103
Thailand	CAMEO_05	Russia	20230103	20230103
Russia	CAMEO_05	Thailand	20230103	20230103
Australia	CAMEO_07	Citizen (Australia)	20230103	20230103
Citizen (Peru)	CAMEO_14	Unspecified Actor	20230103	20230103
Protester (Peru)	CAMEO_14	Unspecified Actor	20230103	20230103
Police (India)	CAMEO_17	Criminal (India)	20230103	20230103
India	CAMEO_08	Citizen (India)	20230103	20230103
Government (India)	CAMEO_11	Rahul Gandhi	20230103	20230103
Government (India)	CAMEO_19	Rahul Gandhi	20230103	20230103
Bharatiya Janata	CAMEO_01	Rahul Gandhi	20230103	20230103
Criminal (India)	CAMEO_19	Citizen (India)	20230103	20230103
Citizen (India)	CAMEO_11	Lawmaker (India)	20230103	20230103
Arvind Kejriwal	CAMEO_01	Government (India)	20230103	20230103
Citizen (India)	CAMEO_03	Mukesh Ambani	20230103	20230103
Mukesh Ambani	CAMEO_03	Citizen (India)	20230103	20230103
Lawyer/Attorney (India)	CAMEO_07	Citizen (India)	20230103	20230103
Police (Malaysia)	CAMEO_18	Children (Malaysia)	20230103	20230103
Domestic Affairs (Canada)	CAMEO_01	Canada	20230103	20230103
Business (Peru)	CAMEO_01	Peru	20230103	20230103
Bishop (Czech Republic)	CAMEO_03	Holy See (Vatican City State)	20230103	20230103
Citizen (Czech Republic)	CAMEO_10	Ministry (Czech Republic)	20230103	20230103
Brno	CAMEO_17	Citizen (Czech Republic)	20230103	20230103
National Liberation Army	CAMEO_01	Gustavo Petro	20230103	20230103
Democratic Party	CAMEO_13	Domestic Affairs (South Korea)	20230103	20230103
Democratic Party	CAMEO_02	Head of Government (South Korea)	20230103	20230103
Conservative Party of Canada	CAMEO_01	Canada	20230103	20230103
Daniel Scioli	CAMEO_04	Mauro Vieira	20230103	20230103
Mauro Vieira	CAMEO_04	Daniel Scioli	20230103	20230103
Head of Government (Brazil)	CAMEO_04	Argentina	20230103	20230103
Argentina	CAMEO_04	Head of Government (Brazil)	20230103	20230103
Daniel Scioli	CAMEO_04	Fernando Haddad	20230103	20230103
Fernando Haddad	CAMEO_04	Daniel Scioli	20230103	20230103
Chinese Communist Party	CAMEO_01	New Party (China)	20230103	20230103
United States	CAMEO_01	South Korea	20230103	20230103
European Parliament	CAMEO_01	Head of Government (Belgium)	20230103	20230103
Xi Jinping	CAMEO_03	Brazil	20230103	20230103
Head of Government (Turkmenistan)	CAMEO_03	Xi Jinping	20230103	20230103
Xi Jinping	CAMEO_04	Turkmenistan	20230103	20230103
Turkmenistan	CAMEO_04	Xi Jinping	20230103	20230103
Head of Government (Turkmenistan)	CAMEO_04	China	20230103	20230103
China	CAMEO_04	Head of Government (Turkmenistan)	20230103	20230103
China	CAMEO_03	World Health Organization	20230103	20230103
China	CAMEO_03	Unidentified State Actor	20230103	20230103
Head of Government (Philippines)	CAMEO_04	Xi Jinping	20230103	20230103
Xi Jinping	CAMEO_04	Head of Government (Philippines)	20230103	20230103
Head of Government (Philippines)	CAMEO_04	China	20230103	20230103
Head of Government (Philippines)	CAMEO_05	Xi Jinping	20230103	20230103
China	CAMEO_04	Head of Government (Philippines)	20230103	20230103
Lawmaker (Russia)	CAMEO_11	Citizen (Russia)	20230103	20230103
Citizen (China)	CAMEO_02	Citizen (Marshall Islands)	20230103	20230103
Xi Jinping	CAMEO_05	Luiz Inacio Lula Da Silva	20230103	20230103
Xi Jinping	CAMEO_01	China	20230103	20230103
Military (Ukraine)	CAMEO_19	Citizen (Ukraine)	20230103	20230103
China	CAMEO_07	Nepal	20230103	20230103
Huanqiu Shibao	CAMEO_02	Scholar (China)	20230103	20230103
Head of Government (Philippines)	CAMEO_04	United States	20230103	20230103
United States	CAMEO_04	Head of Government (Philippines)	20230103	20230103
Head of Government (Philippines)	CAMEO_03	China	20230103	20230103
Ferdinand Marcos, Jr.	CAMEO_04	China	20230103	20230103
China	CAMEO_04	Ferdinand Marcos, Jr.	20230103	20230103
Foreign Affairs (China)	CAMEO_01	China	20230103	20230103
Head of Government (China)	CAMEO_03	China	20230103	20230103
Luiz Inacio Lula Da Silva	CAMEO_03	Argentina	20230103	20230103
Luiz Inacio Lula Da Silva	CAMEO_03	United States	20230103	20230103
Luiz Inacio Lula Da Silva	CAMEO_03	Portugal	20230103	20230103
Luiz Inacio Lula Da Silva	CAMEO_03	China	20230103	20230103
Ukraine	CAMEO_19	Russia	20230103	20230103
Military (Ukraine)	CAMEO_11	Russia	20230103	20230103
China	CAMEO_04	Canada	20230103	20230103
Hong Kong	CAMEO_04	Canada	20230103	20230103
Canada	CAMEO_04	China	20230103	20230103
Canada	CAMEO_04	Hong Kong	20230103	20230103
Kemal Kilicdaroglu	CAMEO_11	Justice and Development Party	20230103	20230103
Kemal Kilicdaroglu	CAMEO_11	Nationalist Movement Party	20230103	20230103
Kemal Kilicdaroglu	CAMEO_11	Local Media (Turkey)	20230103	20230103
Kemal Kilicdaroglu	CAMEO_11	Recep Tayyip Erdoğan	20230103	20230103
Kemal Kilicdaroglu	CAMEO_11	Devlet Bahçeli	20230103	20230103
Other Authorities / Officials (Colombia)	CAMEO_02	Germany	20230103	20230103
Military (Nigeria)	CAMEO_19	Criminal (Nigeria)	20230103	20230103
Military (Nigeria)	CAMEO_19	Government (Nigeria)	20230103	20230103
Military (Nigeria)	CAMEO_02	Citizen (Nigeria)	20230103	20230103
National Liberation Army	CAMEO_01	Guerrilla (Colombia)	20230103	20230103
Government (Colombia)	CAMEO_12	Guerrilla (Colombia)	20230103	20230103
Government (Colombia)	CAMEO_03	Armed Band (Colombia)	20230103	20230103
Armed Band (Colombia)	CAMEO_05	Government (Colombia)	20230103	20230103
Sweden	CAMEO_02	North Atlantic Treaty Organization	20230103	20230103
Finland	CAMEO_02	North Atlantic Treaty Organization	20230103	20230103
Luiz Inacio Lula Da Silva	CAMEO_04	United States	20230103	20230103
Luiz Inacio Lula Da Silva	CAMEO_04	Portugal	20230103	20230103
Luiz Inacio Lula Da Silva	CAMEO_04	China	20230103	20230103
United States	CAMEO_04	Luiz Inacio Lula Da Silva	20230103	20230103
Portugal	CAMEO_04	Luiz Inacio Lula Da Silva	20230103	20230103
China	CAMEO_04	Luiz Inacio Lula Da Silva	20230103	20230103
Lawyer/Attorney (Mexico)	CAMEO_01	Police (Mexico)	20230103	20230103
Foreign Affairs (Japan)	CAMEO_01	Mikhail Sergeyevich Gorbachev	20230103	20230103
United States	CAMEO_01	Mikhail Sergeyevich Gorbachev	20230103	20230103
International	CAMEO_01	Mikhail Sergeyevich Gorbachev	20230103	20230103
Guerrilla (Chile)	CAMEO_16	Communist Party (Chile)	20230103	20230103
Gustavo Petro	CAMEO_08	National Liberation Army	20230103	20230103
Gustavo Petro	CAMEO_08	Dissident (Revolutionary Armed Forces of Colombia)	20230103	20230103
Gustavo Petro	CAMEO_08	Unidentified State Actor	20230103	20230103
Reserve Personnel (Russia)	CAMEO_15	Russia	20230103	20230103
High Ranking Military Personnel (Iraq)	CAMEO_09	Military (Iraq)	20230103	20230103
Agence France-Presse	CAMEO_01	Other Authorities / Officials (Iraq)	20230103	20230103
Other Authorities / Officials (Iraq)	CAMEO_17	Criminal (Iraq)	20230103	20230103
Foreign Affairs (Jordan)	CAMEO_04	Foreign Affairs (Israel)	20230103	20230103
Foreign Affairs (Israel)	CAMEO_04	Foreign Affairs (Jordan)	20230103	20230103
Head of Government (Jordan)	CAMEO_01	Abdul Salam al-Majali	20230103	20230103
Men (Jordan)	CAMEO_01	Abdul Salam al-Majali	20230103	20230103
Citizen (Russia)	CAMEO_14	Unspecified Actor	20230103	20230103
Member of the Judiciary (Iran)	CAMEO_12	Citizen (Iran)	20230103	20230103
Activist (Tunisia)	CAMEO_14	Unspecified Actor	20230103	20230103
Foreign Affairs (Lebanon)	CAMEO_05	Israel	20230103	20230103
Foreign Affairs (Lebanon)	CAMEO_11	Ministry (Israel)	20230103	20230103
Media Personnel (Jordan)	CAMEO_02	Citizen (Jordan)	20230103	20230103
Cabinet / Council of Ministers / Advisors (Jordan)	CAMEO_05	Business (Jordan)	20230103	20230103
Police (Jordan)	CAMEO_17	Criminal (Jordan)	20230103	20230103
Military Personnel - Special (Jordan)	CAMEO_19	Jordan	20230103	20230103
Environment Department/Ministry (United Kingdom)	CAMEO_01	Government (United Kingdom)	20230103	20230103
Israeli Defense Forces	CAMEO_19	Children (Palestinian Territory, Occupied)	20230103	20230103
Iran	CAMEO_17	Indigenous People (France)	20230103	20230103
Iran	CAMEO_17	Citizen (Belgium)	20230103	20230103
Police (Iran)	CAMEO_17	Women (Iran)	20230103	20230103
Muhammad Ishtayyah	CAMEO_02	Citizen (Palestinian Territory, Occupied)	20230103	20230103
Ukraine	CAMEO_19	Education (Russia)	20230103	20230103
Russia	CAMEO_01	Citizen (Russia)	20230103	20230103
Citizen (India)	CAMEO_01	Citizen (Russia)	20230103	20230103
Saudi Arabia	CAMEO_11	Israel	20230103	20230103
United Arab Emirates	CAMEO_11	Israel	20230103	20230103
Ukraine	CAMEO_03	European Union	20230103	20230103
European Union	CAMEO_03	Ukraine	20230103	20230103
Mevlut Cavusoglu	CAMEO_04	People Associated with the Opposition (Syrian National Council)	20230103	20230103
People Associated with the Opposition (Syrian National Council)	CAMEO_04	Mevlut Cavusoglu	20230103	20230103
Ministry of Defense	CAMEO_04	Russia	20230103	20230103
Turkey	CAMEO_04	Syria	20230103	20230103
Syria	CAMEO_04	Turkey	20230103	20230103
Russia	CAMEO_04	Ministry of Defense	20230103	20230103
Israel	CAMEO_01	Ministry (Israel)	20230103	20230103
Benjamin Netanyahu	CAMEO_01	Iran	20230103	20230103
United States	CAMEO_19	Qasem Soleimani	20230103	20230103
Head of Government (Peru)	CAMEO_05	Police (Peru)	20230103	20230103
